date,LOAD_WEIGHT
2007-12-19,5480.0
2007-12-21,2680.0
2007-12-22,1940.0
2007-12-26,4200.0
2007-12-27,700.0
2007-12-29,1080.0
2007-12-31,720.0
2008-01-02,420.0
2008-01-03,420.0
2008-01-05,2300.0
2008-01-07,900.0
2008-01-09,6720.0
2008-01-15,5980.0
2008-01-16,2120.0
2008-01-23,5240.0
2008-01-26,1800.0
2008-01-30,6480.0
2008-01-31,11620.0
2008-02-02,2620.0
2008-02-06,5300.0
2008-02-07,440.0
2008-02-08,1500.0
2008-02-09,800.0
2008-02-12,6420.0
2008-02-13,1340.0
2008-02-14,2820.0
2008-02-15,1760.0
2008-02-16,3400.0
2008-02-20,5100.0
2008-02-23,18520.0
2008-02-25,6320.0
2008-02-27,5080.0
2008-02-28,2260.0
2008-02-29,1840.0
2008-03-01,860.0
2008-03-03,6100.0
2008-03-05,4620.0
2008-03-08,1760.0
2008-03-12,2840.0
2008-03-13,4340.0
2008-03-14,2260.0
2008-03-17,9960.0
2008-03-19,11880.0
2008-03-26,780.0
2008-03-27,1700.0
2008-03-29,1840.0
2008-03-31,6020.0
2008-04-02,3040.0
2008-04-05,3180.0
2008-04-07,5480.0
2008-04-09,8860.0
2008-04-11,960.0
2008-04-12,4280.0
2008-04-14,6920.0
2008-04-16,2980.0
2008-04-19,4040.0
2008-04-23,4600.0
2008-04-24,1900.0
2008-04-26,5720.0
2008-04-30,2600.0
2008-05-01,4540.0
2008-05-03,9460.0
2008-05-06,6580.0
2008-05-07,880.0
2008-05-09,6080.0
2008-05-10,900.0
2008-05-16,5260.0
2008-05-17,6000.0
2008-05-19,5440.0
2008-05-21,2040.0
2008-05-22,740.0
2008-05-26,3640.0
2008-05-27,7440.0
2008-05-28,1760.0
2008-05-29,2680.0
2008-05-30,820.0
2008-05-31,1080.0
2008-06-03,3580.0
2008-06-04,1520.0
2008-06-05,1060.0
2008-06-09,4740.0
2008-06-11,720.0
2008-06-12,1800.0
2008-06-13,1800.0
2008-06-17,4320.0
2008-06-18,4340.0
2008-06-19,2280.0
2008-06-20,820.0
2008-06-21,3540.0
2008-06-24,5640.0
2008-06-25,1880.0
2008-06-26,2160.0
2008-06-27,2580.0
2008-06-28,1200.0
2008-07-01,4480.0
2008-07-02,2840.0
2008-07-03,2040.0
2008-07-05,5520.0
2008-07-07,4760.0
2008-07-09,9420.0
2008-07-10,2500.0
2008-07-11,1400.0
2008-07-12,680.0
2008-07-14,3800.0
2008-07-16,900.0
2008-07-17,900.0
2008-07-18,2920.0
2008-07-22,3740.0
2008-07-23,4980.0
2008-07-28,5860.0
2008-07-30,620.0
2008-08-01,3120.0
2008-08-06,2540.0
2008-08-13,4020.0
2008-08-15,3380.0
2008-08-16,2520.0
2008-08-20,5740.0
2008-08-21,760.0
2008-08-27,6280.0
2008-09-04,4760.0
2008-09-06,3520.0
2008-09-08,7100.0
2008-09-10,2380.0
2008-09-12,960.0
2008-09-13,3200.0
2008-09-17,600.0
2008-09-22,6600.0
2008-09-25,640.0
2008-09-27,1880.0
2008-09-29,4380.0
2008-10-01,1860.0
2008-10-02,1020.0
2008-10-03,1060.0
2008-10-04,1560.0
2008-10-06,2860.0
2008-10-07,320.0
2008-10-09,800.0
2008-10-10,3660.0
2008-10-11,2180.0
2008-10-13,4620.0
2008-10-15,2740.0
2008-10-16,2440.0
2008-10-17,1520.0
2008-10-20,7140.0
2008-10-22,2940.0
2008-10-25,1680.0
2008-10-27,3740.0
2008-10-29,620.0
2008-10-30,1800.0
2008-11-01,2700.0
2008-11-03,2760.0
2008-11-04,900.0
2008-11-05,2880.0
2008-11-07,3280.0
2008-11-08,1920.0
2008-11-09,1960.0
2008-11-10,3700.0
2008-11-15,1400.0
2008-11-17,2180.0
2008-11-18,1800.0
2008-11-19,1380.0
2008-11-22,2060.0
2008-11-24,3640.0
2008-11-25,640.0
2008-11-29,2540.0
2008-12-01,2620.0
2008-12-02,620.0
2008-12-03,2500.0
2008-12-04,3920.0
2008-12-06,3740.0
2008-12-08,5000.0
2008-12-10,5840.0
2008-12-13,7260.0
2008-12-15,3520.0
2008-12-17,8580.0
2008-12-20,5240.0
2008-12-23,2120.0
2008-12-27,2440.0
2008-12-31,3440.0
2009-01-02,4680.0
2009-01-03,2900.0
2009-01-07,6340.0
2009-01-10,5440.0
2009-01-14,3900.0
2009-01-21,6500.0
2009-01-24,5860.0
2009-01-28,5360.0
2009-01-30,2080.0
2009-02-02,6520.0
2009-02-04,3380.0
2009-02-06,4560.0
2009-02-07,1720.0
2009-02-11,4900.0
2009-02-14,4680.0
2009-02-16,6080.0
2009-02-18,880.0
2009-02-25,680.0
2009-02-28,2960.0
2009-03-04,3080.0
2009-06-20,1080.0
2009-06-24,500.0
2009-07-22,920.0
2009-09-04,4060.0
2009-10-23,6180.0
2010-01-23,6040.0
2010-02-06,9920.0
2010-03-25,1080.0
2010-04-08,3360.0
2010-04-10,960.0
2010-05-15,11160.0
2010-06-26,3060.0
2010-07-30,5640.0
2010-08-14,4500.0
2011-07-16,2220.0
2011-08-12,4700.0
2011-09-10,3440.0
2011-09-17,3640.0
2012-02-19,3670.0
2012-03-11,4480.0
2012-03-13,2480.0
2012-03-15,6100.0
2012-03-16,12040.0
2012-03-18,9740.0
2012-11-23,9640.0
2013-09-09,500.0
2014-03-10,8600.0
2014-03-15,5040.0
2014-04-16,5800.0
2014-05-22,7500.0
2014-09-17,6200.0
2014-10-01,4140.0
2014-10-15,3260.0
2014-10-18,28260.0
2014-10-25,11280.0
2014-10-29,2080.0
2014-11-15,14580.0
2014-11-28,10200.0
2014-11-29,4120.0
2014-12-13,19980.0
2014-12-20,2580.0
2014-12-26,13680.0
2014-12-27,9440.0
2014-12-31,3420.0
2015-01-06,1780.0
2015-01-08,6820.0
2015-01-17,7540.0
2015-01-24,4500.0
2015-01-31,3880.0
2015-02-07,17900.0
2015-02-11,2140.0
2015-02-14,3080.0
2015-02-20,5880.0
2015-02-21,10300.0
2015-02-28,2260.0
2015-03-07,3020.0
2015-03-14,5580.0
2015-03-19,14800.0
2015-03-23,47680.0
2015-03-24,5320.0
2015-03-25,7100.0
2015-03-28,10020.0
2015-04-03,14500.0
2015-04-08,15260.0
2015-04-15,5300.0
2015-04-16,6040.0
2015-04-18,2220.0
2015-04-25,7000.0
2015-05-02,6800.0
2015-05-09,5940.0
2015-05-13,1760.0
2015-05-14,4600.0
2015-05-16,3300.0
2015-05-20,1340.0
2015-05-23,4780.0
2015-05-29,3140.0
2015-05-30,1040.0
2015-06-03,1040.0
2015-06-05,2360.0
2015-06-11,2900.0
2015-06-13,4220.0
2015-06-19,4700.0
2015-06-20,11980.0
2015-06-25,5200.0
2015-06-27,35440.0
2015-07-02,4180.0
2015-07-04,25920.0
2015-07-09,7280.0
2015-07-11,18160.0
2015-07-15,3400.0
2015-07-18,14300.0
2015-07-22,400.0
2015-07-23,860.0
2015-07-24,1220.0
2015-07-25,12900.0
2015-08-01,5100.0
2015-08-06,2980.0
2015-08-08,17660.0
2015-08-14,3080.0
2015-08-15,1580.0
2015-08-21,3040.0
2015-08-28,4600.0
2015-08-29,1620.0
2015-09-02,15980.0
2015-09-04,4880.0
2015-09-11,3780.0
2015-09-12,26240.0
2015-09-18,2840.0
2015-09-19,12240.0
2015-09-25,3960.0
2015-09-26,15840.0
2015-10-02,3060.0
2015-10-03,5980.0
2015-10-10,17760.0
2015-10-16,3800.0
2015-10-23,2960.0
2015-11-12,720.0
2015-11-13,1340.0
2015-11-14,18220.0
2015-11-20,2440.0
2015-11-25,360.0
2015-11-27,20460.0
2015-11-28,14600.0
2015-12-02,5920.0
2015-12-04,720.0
2015-12-05,12680.0
2015-12-08,4920.0
2015-12-12,14380.0
2015-12-18,4780.0
2015-12-19,4820.0
2015-12-23,4040.0
2015-12-24,4020.0
2015-12-26,9540.0
2015-12-31,1080.0
2016-01-02,11340.0
2016-01-05,1480.0
2016-01-08,3300.0
2016-01-09,8060.0
2016-01-13,1860.0
2016-01-15,3440.0
2016-01-21,5020.0
2016-01-23,5760.0
2016-02-02,3460.0
2016-02-03,3500.0
2016-02-05,4320.0
2016-02-08,2360.0
2016-02-09,1740.0
2016-02-10,1340.0
2016-02-13,660.0
2016-02-15,3680.0
2016-02-16,3080.0
2016-02-17,1760.0
2016-02-24,4120.0
2016-02-29,720.0
2016-03-01,1620.0
2016-03-02,2960.0
2016-03-04,2260.0
2016-03-05,14080.0
2016-03-09,3460.0
2016-03-14,25500.0
2016-03-16,4620.0
2016-03-19,5800.0
2016-03-21,12260.0
2016-03-23,1620.0
2016-03-29,2420.0
2016-03-30,2640.0
2016-04-01,2060.0
2016-04-04,3060.0
2016-04-06,5780.0
2016-04-13,6160.0
2016-04-14,4620.0
2016-04-19,3100.0
2016-04-20,2900.0
2016-04-22,5360.0
2016-04-26,3660.0
2016-04-30,4640.0
2016-05-06,4900.0
2016-05-10,1400.0
2016-05-11,3420.0
2016-05-14,1580.0
2016-05-16,1700.0
2016-05-18,4340.0
2016-05-20,18380.0
2016-05-21,960.0
2016-05-23,8240.0
2016-05-24,1360.0
2016-05-26,3460.0
2016-05-27,3320.0
2016-05-28,1720.0
2016-05-31,1600.0
2016-06-01,3260.0
2016-06-03,5040.0
2016-06-07,6600.0
2016-06-11,16800.0
2016-06-13,6780.0
2016-06-14,4300.0
2016-06-15,2320.0
2016-06-17,3940.0
2016-06-21,4540.0
2016-06-23,4360.0
2016-06-25,4760.0
2016-06-28,4000.0
2016-06-29,1680.0
2016-06-30,1360.0
2016-07-02,16800.0
2016-07-13,5120.0
2016-07-20,3820.0
2016-07-21,2980.0
2016-08-01,3940.0
2016-08-10,2840.0
2016-08-12,1640.0
2016-08-13,16460.0
2016-08-15,740.0
2016-08-17,9300.0
2016-08-22,5900.0
2016-08-23,8560.0
2016-08-24,3700.0
2016-08-25,1780.0
2016-08-27,14860.0
2016-08-29,2600.0
2016-08-30,2520.0
2016-08-31,920.0
2016-09-01,1160.0
2016-09-02,3060.0
2016-09-03,12740.0
2016-09-06,6340.0
2016-09-07,4140.0
2016-09-10,9840.0
2016-09-13,8880.0
2016-09-14,1760.0
2016-09-17,2260.0
2016-09-20,3620.0
2016-09-21,2660.0
2016-09-27,3700.0
2016-09-28,4140.0
2016-10-01,5700.0
2016-10-04,2760.0
2016-10-05,4340.0
2016-10-08,8740.0
2016-10-11,3300.0
2016-10-12,2920.0
2016-10-14,4420.0
2016-10-15,12220.0
2016-10-19,1660.0
2016-10-21,7780.0
2016-10-25,2740.0
2016-10-26,3580.0
2016-11-01,3020.0
2016-11-02,3360.0
2016-11-08,3840.0
2016-11-09,4320.0
2016-11-16,8080.0
2016-11-22,2220.0
2016-11-23,3460.0
2016-11-29,8660.0
2016-11-30,3260.0
2016-12-06,3820.0
2016-12-07,3540.0
2016-12-13,4400.0
2016-12-14,2480.0
2016-12-17,2240.0
2016-12-21,5120.0
2016-12-23,3460.0
2016-12-24,7440.0
2016-12-27,2260.0
2016-12-28,2580.0
2017-01-03,2820.0
2017-01-04,1660.0
2017-01-05,340.0
2017-01-07,860.0
2017-01-10,3400.0
2017-01-11,4640.0
2017-01-17,5460.0
2017-01-18,5880.0
2017-01-24,4660.0
2017-01-25,4080.0
2017-01-26,3180.0
2017-01-27,3920.0
2017-01-28,2280.0
2017-01-31,6300.0
2017-02-01,860.0
2017-02-04,3560.0
2017-02-06,4800.0
2017-02-08,4060.0
2017-02-13,3920.0
2017-02-14,1480.0
2017-02-15,920.0
2017-02-16,3440.0
2017-02-18,9660.0
2017-02-20,5180.0
2017-02-22,2300.0
2017-02-25,15820.0
2017-02-28,3060.0
2017-03-01,2280.0
2017-03-07,2160.0
2017-03-08,4300.0
2017-03-11,1080.0
2017-03-13,6160.0
2017-03-14,1920.0
2017-03-17,1500.0
2017-03-18,2220.0
2017-03-20,9480.0
2017-03-22,13980.0
2017-03-24,1940.0
2017-03-27,2000.0
2017-03-28,3980.0
2017-03-29,1820.0
2017-04-04,4020.0
2017-04-05,3580.0
2017-04-06,560.0
2017-04-10,3360.0
2017-04-11,1600.0
2017-04-12,2580.0
2017-04-13,540.0
2017-04-14,1780.0
2017-04-15,8400.0
2017-04-18,3060.0
2017-04-19,4480.0
2017-04-20,3320.0
2017-04-25,4940.0
2017-04-26,4620.0
2017-05-02,3120.0
2017-05-03,6360.0
2017-05-09,4900.0
2017-05-10,3020.0
2017-05-12,3040.0
2017-05-13,1560.0
2017-05-17,3480.0
2017-05-20,3120.0
2017-05-23,4700.0
2017-05-24,1580.0
2017-05-27,2520.0
2017-06-03,11080.0
2017-06-05,2080.0
2017-06-06,1580.0
2017-06-07,1560.0
2017-06-08,2420.0
2017-06-10,4040.0
2017-06-13,2040.0
2017-06-14,4560.0
2017-06-17,4480.0
2017-06-20,4640.0
2017-06-21,3560.0
2017-06-24,1620.0
2017-06-28,4280.0
2017-06-30,3420.0
2017-07-01,9140.0
2017-07-03,2200.0
2017-07-05,4500.0
2017-07-08,3900.0
2017-07-11,1980.0
2017-07-12,3600.0
2017-07-13,580.0
2017-07-17,940.0
2017-07-18,880.0
2017-07-19,2980.0
2017-07-25,2500.0
2017-07-26,2960.0
2017-07-28,3340.0
2017-08-01,3120.0
2017-08-02,4680.0
2017-08-04,2340.0
2017-08-05,1620.0
2017-08-08,4200.0
2017-08-09,2720.0
2017-08-15,1600.0
2017-08-16,2100.0
2017-08-21,1820.0
2017-08-23,5980.0
2017-08-30,3120.0
2017-09-01,2700.0
2017-09-02,1880.0
2017-09-04,2080.0
2017-09-05,3720.0
2017-09-06,660.0
2017-09-11,1720.0
2017-09-12,3040.0
2017-09-15,6580.0
2017-09-18,6200.0
2017-09-19,2380.0
2017-09-20,2200.0
2017-09-23,1920.0
2017-09-26,3860.0
2017-09-27,3440.0
2017-09-30,620.0
2017-10-04,7260.0
2017-10-06,4600.0
2017-10-09,4760.0
2017-10-10,6880.0
2017-10-11,3300.0
2017-10-14,6540.0
2017-10-17,3320.0
2017-10-18,4040.0
2017-10-21,2860.0
2017-10-24,5180.0
2017-10-25,2960.0
2017-10-28,41660.0
2017-10-31,4920.0
2017-11-01,2820.0
2017-11-07,3180.0
